areaperil_id,lon,lat,IMTs
147,-71.7,18.9,SA(0.6)
148,-71.7,18.95,SA(0.6)
149,-71.7,19.0,SA(0.6)
150,-71.7,19.05,SA(0.6)
151,-71.7,19.1,SA(0.6)
152,-71.7,19.15,SA(0.6)
153,-71.7,19.2,SA(0.6)
154,-71.7,19.25,SA(0.6)
155,-71.7,19.3,SA(0.6)
156,-71.7,19.35,SA(0.6)
157,-71.7,19.4,SA(0.6)
158,-71.7,19.45,SA(0.6)
159,-71.7,19.5,SA(0.6)
160,-71.7,19.55,SA(0.6)
161,-71.7,19.6,SA(0.6)
162,-71.7,19.65,SA(0.6)
163,-71.7,19.7,SA(0.6)
164,-71.7,19.75,SA(0.6)
165,-71.7,19.8,SA(0.6)
166,-71.7,19.85,SA(0.6)
167,-71.7,19.9,SA(0.6)
168,-71.7,19.95,SA(0.6)
169,-71.65,17.75,SA(0.6)
170,-71.65,17.8,SA(0.6)
171,-71.65,17.85,SA(0.6)
172,-71.65,17.9,SA(0.6)
173,-71.65,17.95,SA(0.6)
174,-71.65,18.0,SA(0.6)
175,-71.65,18.05,SA(0.6)
176,-71.65,18.1,SA(0.6)
177,-71.65,18.15,SA(0.6)
178,-71.65,18.2,SA(0.6)
179,-71.65,18.25,SA(0.6)
180,-71.65,18.3,SA(0.6)
181,-71.65,18.35,SA(0.6)
182,-71.65,18.4,SA(0.6)
183,-71.65,18.45,SA(0.6)
184,-71.65,18.5,SA(0.6)
185,-71.65,18.55,SA(0.6)
186,-71.65,18.6,SA(0.6)
187,-71.65,18.65,SA(0.6)
188,-71.65,18.7,SA(0.6)
189,-71.65,18.75,SA(0.6)
190,-71.65,18.8,SA(0.6)
191,-71.65,18.85,SA(0.6)
192,-71.65,18.9,SA(0.6)
193,-71.65,18.95,SA(0.6)
194,-71.65,19.0,SA(0.6)
195,-71.65,19.05,SA(0.6)
196,-71.65,19.1,SA(0.6)
197,-71.65,19.15,SA(0.6)
198,-71.65,19.2,SA(0.6)
199,-71.65,19.25,SA(0.6)
200,-71.65,19.3,SA(0.6)
201,-71.65,19.35,SA(0.6)
202,-71.65,19.4,SA(0.6)
203,-71.65,19.45,SA(0.6)
204,-71.65,19.5,SA(0.6)
205,-71.65,19.55,SA(0.6)
206,-71.65,19.6,SA(0.6)
207,-71.65,19.65,SA(0.6)
208,-71.65,19.7,SA(0.6)
209,-71.65,19.75,SA(0.6)
210,-71.65,19.8,SA(0.6)
211,-71.65,19.85,SA(0.6)
212,-71.65,19.9,SA(0.6)
213,-71.65,19.95,SA(0.6)
214,-71.6,17.5,SA(0.6)
215,-71.6,17.55,SA(0.6)
216,-71.6,17.6,SA(0.6)
217,-71.6,17.65,SA(0.6)
218,-71.6,17.7,SA(0.6)
219,-71.6,17.75,SA(0.6)
220,-71.6,17.8,SA(0.6)
221,-71.6,17.85,SA(0.6)
222,-71.6,17.9,SA(0.6)
223,-71.6,17.95,SA(0.6)
224,-71.6,18.0,SA(0.6)
225,-71.6,18.05,SA(0.6)
226,-71.6,18.1,SA(0.6)
227,-71.6,18.15,SA(0.6)
228,-71.6,18.2,SA(0.6)
229,-71.6,18.25,SA(0.6)
230,-71.6,18.3,SA(0.6)
231,-71.6,18.35,SA(0.6)
232,-71.6,18.4,SA(0.6)
233,-71.6,18.45,SA(0.6)
234,-71.6,18.5,SA(0.6)
235,-71.6,18.55,SA(0.6)
236,-71.6,18.6,SA(0.6)
237,-71.6,18.65,SA(0.6)
238,-71.6,18.7,SA(0.6)
239,-71.6,18.75,SA(0.6)
240,-71.6,18.8,SA(0.6)
241,-71.6,18.85,SA(0.6)
242,-71.6,18.9,SA(0.6)
243,-71.6,18.95,SA(0.6)
244,-71.6,19.0,SA(0.6)
245,-71.6,19.05,SA(0.6)
246,-71.6,19.1,SA(0.6)
247,-71.6,19.15,SA(0.6)
248,-71.6,19.2,SA(0.6)
249,-71.6,19.25,SA(0.6)
250,-71.6,19.3,SA(0.6)
251,-71.6,19.35,SA(0.6)
252,-71.6,19.4,SA(0.6)
253,-71.6,19.45,SA(0.6)
254,-71.6,19.5,SA(0.6)
255,-71.6,19.55,SA(0.6)
256,-71.6,19.6,SA(0.6)
257,-71.6,19.65,SA(0.6)
258,-71.6,19.7,SA(0.6)
259,-71.6,19.75,SA(0.6)
260,-71.6,19.8,SA(0.6)
261,-71.6,19.85,SA(0.6)
262,-71.6,19.9,SA(0.6)
263,-71.6,19.95,SA(0.6)
264,-71.6,20.0,SA(0.6)
265,-71.55,17.45,SA(0.6)
266,-71.55,17.5,SA(0.6)
267,-71.55,17.55,SA(0.6)
268,-71.55,17.6,SA(0.6)
269,-71.55,17.65,SA(0.6)
270,-71.55,17.7,SA(0.6)
271,-71.55,17.75,SA(0.6)
272,-71.55,17.8,SA(0.6)
273,-71.55,17.85,SA(0.6)
274,-71.55,17.9,SA(0.6)
275,-71.55,17.95,SA(0.6)
276,-71.55,18.0,SA(0.6)
277,-71.55,18.05,SA(0.6)
278,-71.55,18.1,SA(0.6)
279,-71.55,18.15,SA(0.6)
280,-71.55,18.2,SA(0.6)
281,-71.55,18.25,SA(0.6)
282,-71.55,18.3,SA(0.6)
283,-71.55,18.35,SA(0.6)
284,-71.55,18.4,SA(0.6)
285,-71.55,18.45,SA(0.6)
286,-71.55,18.5,SA(0.6)
287,-71.55,18.55,SA(0.6)
288,-71.55,18.6,SA(0.6)
289,-71.55,18.65,SA(0.6)
290,-71.55,18.7,SA(0.6)
291,-71.55,18.75,SA(0.6)
292,-71.55,18.8,SA(0.6)
293,-71.55,18.85,SA(0.6)
294,-71.55,18.9,SA(0.6)
295,-71.55,18.95,SA(0.6)
296,-71.55,19.0,SA(0.6)
297,-71.55,19.05,SA(0.6)
298,-71.55,19.1,SA(0.6)
299,-71.55,19.15,SA(0.6)
300,-71.55,19.2,SA(0.6)
301,-71.55,19.25,SA(0.6)
302,-71.55,19.3,SA(0.6)
303,-71.55,19.35,SA(0.6)
304,-71.55,19.4,SA(0.6)
305,-71.55,19.45,SA(0.6)
306,-71.55,19.5,SA(0.6)
307,-71.55,19.55,SA(0.6)
308,-71.55,19.6,SA(0.6)
309,-71.55,19.65,SA(0.6)
310,-71.55,19.7,SA(0.6)
311,-71.55,19.75,SA(0.6)
312,-71.55,19.8,SA(0.6)
313,-71.55,19.85,SA(0.6)
314,-71.55,19.9,SA(0.6)
315,-71.55,19.95,SA(0.6)
316,-71.55,20.0,SA(0.6)
317,-71.5,17.45,SA(0.6)
318,-71.5,17.5,SA(0.6)
319,-71.5,17.55,SA(0.6)
320,-71.5,17.6,SA(0.6)
321,-71.5,17.65,SA(0.6)
322,-71.5,17.7,SA(0.6)
323,-71.5,17.75,SA(0.6)
324,-71.5,17.8,SA(0.6)
325,-71.5,17.85,SA(0.6)
326,-71.5,17.9,SA(0.6)
327,-71.5,17.95,SA(0.6)
328,-71.5,18.0,SA(0.6)
329,-71.5,18.05,SA(0.6)
330,-71.5,18.1,SA(0.6)
331,-71.5,18.15,SA(0.6)
332,-71.5,18.2,SA(0.6)
333,-71.5,18.25,SA(0.6)
334,-71.5,18.3,SA(0.6)
335,-71.5,18.35,SA(0.6)
336,-71.5,18.4,SA(0.6)
337,-71.5,18.45,SA(0.6)
338,-71.5,18.5,SA(0.6)
339,-71.5,18.55,SA(0.6)
340,-71.5,18.6,SA(0.6)
341,-71.5,18.65,SA(0.6)
342,-71.5,18.7,SA(0.6)
343,-71.5,18.75,SA(0.6)
344,-71.5,18.8,SA(0.6)
345,-71.5,18.85,SA(0.6)
346,-71.5,18.9,SA(0.6)
347,-71.5,18.95,SA(0.6)
348,-71.5,19.0,SA(0.6)
349,-71.5,19.05,SA(0.6)
350,-71.5,19.1,SA(0.6)
351,-71.5,19.15,SA(0.6)
352,-71.5,19.2,SA(0.6)
353,-71.5,19.25,SA(0.6)
354,-71.5,19.3,SA(0.6)
355,-71.5,19.35,SA(0.6)
356,-71.5,19.4,SA(0.6)
357,-71.5,19.45,SA(0.6)
358,-71.5,19.5,SA(0.6)
359,-71.5,19.55,SA(0.6)
360,-71.5,19.6,SA(0.6)
361,-71.5,19.65,SA(0.6)
362,-71.5,19.7,SA(0.6)
363,-71.5,19.75,SA(0.6)
364,-71.5,19.8,SA(0.6)
365,-71.5,19.85,SA(0.6)
366,-71.5,19.9,SA(0.6)
367,-71.5,19.95,SA(0.6)
368,-71.5,20.0,SA(0.6)
369,-71.45,17.5,SA(0.6)
370,-71.45,17.55,SA(0.6)
371,-71.45,17.6,SA(0.6)
372,-71.45,17.65,SA(0.6)
373,-71.45,17.7,SA(0.6)
374,-71.45,17.75,SA(0.6)
375,-71.45,17.8,SA(0.6)
376,-71.45,17.85,SA(0.6)
377,-71.45,17.9,SA(0.6)
378,-71.45,17.95,SA(0.6)
379,-71.45,18.0,SA(0.6)
380,-71.45,18.05,SA(0.6)
381,-71.45,18.1,SA(0.6)
382,-71.45,18.15,SA(0.6)
383,-71.45,18.2,SA(0.6)
384,-71.45,18.25,SA(0.6)
385,-71.45,18.3,SA(0.6)
386,-71.45,18.35,SA(0.6)
387,-71.45,18.4,SA(0.6)
388,-71.45,18.45,SA(0.6)
389,-71.45,18.5,SA(0.6)
390,-71.45,18.55,SA(0.6)
391,-71.45,18.6,SA(0.6)
392,-71.45,18.65,SA(0.6)
393,-71.45,18.7,SA(0.6)
394,-71.45,18.75,SA(0.6)
395,-71.45,18.8,SA(0.6)
396,-71.45,18.85,SA(0.6)
397,-71.45,18.9,SA(0.6)
398,-71.45,18.95,SA(0.6)
399,-71.45,19.0,SA(0.6)
400,-71.45,19.05,SA(0.6)
401,-71.45,19.1,SA(0.6)
402,-71.45,19.15,SA(0.6)
403,-71.45,19.2,SA(0.6)
404,-71.45,19.25,SA(0.6)
405,-71.45,19.3,SA(0.6)
406,-71.45,19.35,SA(0.6)
407,-71.45,19.4,SA(0.6)
408,-71.45,19.45,SA(0.6)
409,-71.45,19.5,SA(0.6)
410,-71.45,19.55,SA(0.6)
411,-71.45,19.6,SA(0.6)
