event_id,period_no,occ_year,occ_month,occ_day
1,4167,4167,2,13
2,3965,3965,3,1
3,2980,2980,5,27
4,3863,3863,12,9
5,2212,2212,8,10
6,1040,1040,5,20
7,966,966,12,15
8,1132,1132,11,11
9,4145,4145,2,26
10,2695,2695,2,13
11,2274,2274,4,27
12,1159,1159,1,28
13,1051,1051,3,17
14,3273,3273,4,21
15,1524,1524,6,11
16,981,981,4,1
17,1992,1992,7,5
18,1385,1385,8,26
19,828,828,1,26
20,2044,2044,2,6
21,4007,4007,6,30
22,3359,3359,11,26
23,2751,2751,10,23
24,361,361,10,25
25,147,147,9,9
26,2423,2423,7,29
27,4826,4826,3,2
28,423,423,6,20
29,3327,3327,11,25
30,4855,4855,1,20
31,340,340,5,13
32,3167,3167,8,18
33,3693,3693,1,25
34,551,551,3,8
35,2343,2343,4,10
36,4696,4696,3,20
37,4569,4569,4,10
38,2350,2350,9,28
39,1162,1162,3,17
40,1432,1432,10,23
41,1614,1614,10,2
42,4255,4255,11,19
43,1293,1293,4,8
44,4800,4800,3,31
45,3966,3966,11,25
46,3635,3635,9,22
47,1761,1761,7,16
48,1582,1582,11,7
49,2107,2107,5,18
50,3556,3556,2,8
51,4210,4210,3,13
52,3210,3210,9,9
53,2776,2776,3,30
54,851,851,5,21
55,3159,3159,4,20
56,1796,1796,12,29
57,4522,4522,2,8
58,50,50,8,6
59,152,152,3,5
60,3271,3271,4,12
61,496,496,6,17
62,2288,2288,1,21
63,1903,1903,4,30
64,2184,2184,9,13
65,3307,3307,11,2
66,3755,3755,2,16
67,2079,2079,10,23
68,356,356,7,14
69,3178,3178,8,7
70,2405,2405,10,21
71,879,879,10,10
72,966,966,9,20
73,4542,4542,7,5
74,2389,2389,9,10
75,3520,3520,2,12
76,3725,3725,10,2
77,3786,3786,7,12
78,986,986,10,8
79,1775,1775,6,6
80,240,240,1,23
81,2223,2223,7,30
82,3642,3642,12,8
83,4326,4326,7,9
84,494,494,3,24
85,718,718,4,22
86,4845,4845,10,7
87,2818,2818,11,17
88,4983,4983,9,18
89,777,777,11,29
90,419,419,5,20
91,1908,1908,4,8
92,2439,2439,2,28
93,1331,1331,7,30
94,3741,3741,11,30
95,2796,2796,5,9
96,2809,2809,5,5
97,4249,4249,7,23
98,4859,4859,2,10
99,3625,3625,7,20
100,3674,3674,12,25
101,1948,1948,5,6
102,3437,3437,10,9
103,4713,4713,1,15
104,2519,2519,7,3
105,1755,1755,6,9
106,3736,3736,11,2
107,65,65,2,12
108,1481,1481,1,16
109,1389,1389,6,8
110,2282,2282,5,30
111,1647,1647,8,31
112,1754,1754,4,16
113,3863,3863,1,4
114,4273,4273,3,7
115,199,199,3,26
116,3093,3093,7,30
117,1196,1196,5,21
118,2275,2275,5,20
